rating;user;place
3;Myron Chaney;Candi Ratu Boko
2;Myron Chaney;Pantai Marina
5;Myron Chaney;Atlantis Water Adventure
3;Myron Chaney;Museum Kereta Ambarawa
4;Myron Chaney;Kampung Wisata Sosro Menduran
2;Myron Chaney;Taman Hutan Raya Ir. H. Juanda
5;Myron Chaney;Museum Gedung Sate
4;Myron Chaney;Museum Taman Prasasti
2;Myron Chaney;Pantai Ngrawe (Mesra)
5;Myron Chaney;Taman Harmoni Keputih
3;Myron Chaney;Tugu Pal Putih Jogja
5;Myron Chaney;Taman Sungai Mudal
3;Myron Chaney;De Mata Museum Jogja
5;Myron Chaney;Surabaya North Quay
5;Myron Chaney;Museum Bahari Jakarta
4;Myron Chaney;Grand Maerakaca
4;Myron Chaney;Margasatwa Muara Angke
3;Myron Chaney;Curug Anom
3;Myron Chaney;Museum Konferensi Asia Afrika
2;Myron Chaney;Taman Cattleya
3;Myron Chaney;Monumen Bambu Runcing Surabaya
3;Myron Chaney;Pasar Seni
4;Myron Chaney;Curug Tilu Leuwi Opat
5;Myron Chaney;Museum Mandala Wangsit Siliwangi
2;Myron Chaney;Museum Wayang
2;Myron Chaney;Gua Pawon
4;Myron Chaney;Perkebunan Teh Malabar
2;Myron Chaney;Masjid Pusdai
2;Myron Chaney;Taman Ismail Marzuki
2;Myron Chaney;Gua Pawon
2;Nita Bolton;Bentara Budaya Yogyakarta (BBY)
5;Nita Bolton;Kota Tua
4;Nita Bolton;Bukit Jamur
3;Nita Bolton;Gereja Katedral
4;Nita Bolton;Taman Pintar Yogyakarta
3;Nita Bolton;Wisata Eling Bening
5;Nita Bolton;Hutan Kota Srengseng
2;Nita Bolton;Puncak Pinus Becici
2;Nita Bolton;Bangsal Pagelaran
2;Nita Bolton;Pantai Krakal
3;Nita Bolton;Museum TNI AL Loka Jala Crana
2;Nita Bolton;Brown Canyon
5;Nita Bolton;Gereja Perawan Maria Tak Berdosa Surabaya
2;Nita Bolton;Candi Donotirto
3;Nita Bolton;Museum Gunung Merapi
5;Nita Bolton;Taman Ekspresi Dan Perpustakaan
5;Nita Bolton;Taman Sungai Mudal
4;Nita Bolton;Gereja Perawan Maria Tak Berdosa Surabaya
3;Nita Bolton;Taman Sungai Mudal
2;Nita Bolton;Tektona Waterpark
2;Nita Bolton;Geoforest Watu Payung Turunan
5;Nita Bolton;Kampung Tematik Jawi
4;Nita Bolton;Balai Kota Surabaya
2;Nita Bolton;Durian Gardens and Tourism Education Watu Simbar
2;Nita Bolton;Wisata Lereng Kelir
2;Nita Bolton;Kebun Teh Nglinggo
5;Nita Bolton;Museum Bank Indonesia
3;Nita Bolton;Glamping Lakeside Rancabali
3;Nita Bolton;Wot Batu
5;Felix Barrett;Masjid Raya Bandung
5;Felix Barrett;Museum Fatahillah
5;Felix Barrett;Kawah Rengganis Cibuni
3;Felix Barrett;Taman Bunga Cihideung
3;Felix Barrett;Museum Kesehatan Dr. Adhyatma
5;Felix Barrett;Pantai Ngandong
2;Felix Barrett;Taman Ismail Marzuki
3;Felix Barrett;Jembatan Pasupati
3;Felix Barrett;Pantai Ngandong
2;Felix Barrett;Pesona Nirwana Waterpark & Cottages
2;Felix Barrett;Museum Sonobudoyo Unit I
